treatment,shoot_rep,green_lvs_7daypost,first_regen_d,regen_pts_d21
Control,1,0,NA,0
Control,2,5,17,1
Control,3,0,16,1
Control,4,0,NA,0
Control,5,0,NA,0
Control,6,0,NA,0
Control,7,0,NA,0
Control,8,0,5,3
Control,9,0,NA,0
Control,10,30,4,4
Control,11,20,15,1
Control,12,5,NA,0
Control,13,10,6,3
Control,14,30,13,3
Control,15,0,NA,0
Control,16,0,11,1
1 h prehy,1,40,10,3
1 h prehy,2,10,NA,0
1 h prehy,3,0,12,2
1 h prehy,4,20,6,2
1 h prehy,5,50,7,4
1 h prehy,6,5,7,5
1 h prehy,7,5,16,2
1 h prehy,8,0,8,1
1 h prehy,9,0,10,1
1 h prehy,10,0,NA,0
1 h prehy,11,20,9,3
1 h prehy,12,10,17,1
1 h prehy,13,20,14,2
1 h prehy,14,50,7,5
1 h prehy,15,40,7,4
1 h prehy,16,20,6,5
2 h prehy,1,20,12,2
2 h prehy,2,5,12,2
2 h prehy,3,20,15,1
2 h prehy,4,0,NA,0
2 h prehy,5,20,10,3
2 h prehy,6,0,14,1
2 h prehy,7,0,7,3
2 h prehy,8,40,9,2
2 h prehy,9,0,14,1
2 h prehy,10,60,9,5
2 h prehy,11,20,12,3
2 h prehy,12,70,10,3
2 h prehy,13,30,5,3
2 h prehy,14,0,NA,0
2 h prehy,15,0,NA,0
2 h prehy,16,0,9,6
3 h prehy,1,5,4,3
3 h prehy,2,10,NA,0
3 h prehy,3,0,11,2
3 h prehy,4,10,12,3
3 h prehy,5,40,8,2
3 h prehy,6,0,10,1
3 h prehy,7,0,11,2
3 h prehy,8,0,7,4
3 h prehy,9,0,NA,0
3 h prehy,10,0,11,1
3 h prehy,11,10,17,1
3 h prehy,12,30,6,3
3 h prehy,13,5,17,1
3 h prehy,14,20,NA,0
3 h prehy,15,70,7,2
3 h prehy,16,90,8,3
4 h prehy,1,20,5,3
4 h prehy,2,10,8,4
4 h prehy,3,0,9,3
4 h prehy,4,40,6,2
4 h prehy,5,70,4,6
4 h prehy,6,0,7,3
4 h prehy,7,10,6,3
4 h prehy,8,10,9,3
4 h prehy,9,0,12,1
4 h prehy,10,0,7,2
4 h prehy,11,20,5,4
4 h prehy,12,70,5,5
4 h prehy,13,40,4,3
4 h prehy,14,50,5,6
4 h prehy,15,20,6,3
4 h prehy,16,0,NA,0
8 h prehy,1,5,4,3
8 h prehy,2,20,6,4
8 h prehy,3,40,5,4
8 h prehy,4,0,7,3
8 h prehy,5,40,5,4
8 h prehy,6,60,7,4
8 h prehy,7,0,NA,0
8 h prehy,8,50,6,5
8 h prehy,9,30,13,3
8 h prehy,10,20,8,5
8 h prehy,11,40,6,8
8 h prehy,12,40,4,4
8 h prehy,13,60,10,6
8 h prehy,14,50,6,5
8 h prehy,15,40,11,2
8 h prehy,16,5,12,1
12 h prehy,1,10,9,2
12 h prehy,2,70,6,5
12 h prehy,3,60,6,4
12 h prehy,4,60,7,3
12 h prehy,5,0,13,1
12 h prehy,6,10,4,3
12 h prehy,7,5,NA,0
12 h prehy,8,20,8,3
12 h prehy,9,50,7,4
12 h prehy,10,30,4,4
12 h prehy,11,30,7,4
12 h prehy,12,0,NA,0
12 h prehy,13,50,8,2
12 h prehy,14,10,6,2
12 h prehy,15,70,9,3
12 h prehy,16,80,2,2
16 h prehy,1,50,5,4
16 h prehy,2,90,6,3
16 h prehy,3,0,4,3
16 h prehy,4,5,7,2
16 h prehy,5,20,11,3
16 h prehy,6,20,4,4
16 h prehy,7,0,NA,0
16 h prehy,8,90,6,4
16 h prehy,9,10,7,1
16 h prehy,10,20,3,3
16 h prehy,11,60,7,5
16 h prehy,12,50,2,6
16 h prehy,13,5,NA,0
16 h prehy,14,80,8,4
16 h prehy,15,0,NA,0
16 h prehy,16,5,NA,0
20 h prehy,1,5,5,3
20 h prehy,2,20,5,2
20 h prehy,3,60,5,3
20 h prehy,4,60,5,3
20 h prehy,5,70,5,6
20 h prehy,6,0,NA,0
20 h prehy,7,50,5,3
20 h prehy,8,40,5,4
20 h prehy,9,5,6,4
20 h prehy,10,0,11,3
20 h prehy,11,70,7,5
20 h prehy,12,20,7,4
20 h prehy,13,80,4,7
20 h prehy,14,0,NA,0
20 h prehy,15,0,NA,0
20 h prehy,16,80,4,4
24 h prehy,1,5,21,1
24 h prehy,2,50,6,6
24 h prehy,3,0,7,2
24 h prehy,4,0,NA,0
24 h prehy,5,0,NA,0
24 h prehy,6,20,9,4
24 h prehy,7,60,4,3
24 h prehy,8,5,4,2
24 h prehy,9,80,4,5
24 h prehy,10,0,NA,0
24 h prehy,11,20,6,3
24 h prehy,12,50,6,2
24 h prehy,13,90,4,3
24 h prehy,14,80,4,4
24 h prehy,15,50,4,5
24 h prehy,16,50,NA,0
2 d prehy,1,10,6,2
2 d prehy,2,5,5,2
2 d prehy,3,50,8,3
2 d prehy,4,70,3,5
2 d prehy,5,20,5,3
2 d prehy,6,70,10,1
2 d prehy,7,0,NA,0
2 d prehy,8,90,10,2
2 d prehy,9,70,5,3
2 d prehy,10,30,9,3
2 d prehy,11,60,7,7
2 d prehy,12,40,9,2
2 d prehy,13,0,5,2
2 d prehy,14,10,9,6
2 d prehy,15,10,3,3
2 d prehy,16,30,7,4
3 d prehy,1,40,5,5
3 d prehy,2,20,15,3
3 d prehy,3,60,4,4
3 d prehy,4,50,4,3
3 d prehy,5,20,4,5
3 d prehy,6,90,8,2
3 d prehy,7,50,6,3
3 d prehy,8,80,5,2
3 d prehy,9,0,9,1
3 d prehy,10,80,5,3
3 d prehy,11,30,3,5
3 d prehy,12,90,4,3
3 d prehy,13,0,NA,0
3 d prehy,14,90,4,2
3 d prehy,15,20,7,3
3 d prehy,16,10,6,3
4 d prehy,1,20,4,2
4 d prehy,2,40,2,5
4 d prehy,3,10,7,3
4 d prehy,4,20,3,4
4 d prehy,5,0,15,1
4 d prehy,6,30,8,3
4 d prehy,7,60,10,4
4 d prehy,8,20,4,2
4 d prehy,9,50,4,3
4 d prehy,10,70,16,2
4 d prehy,11,0,NA,0
4 d prehy,12,80,6,3
4 d prehy,13,20,15,2
4 d prehy,14,0,16,2
4 d prehy,15,50,7,5
4 d prehy,16,0,NA,0
7 d prehy,1,5,4,6
7 d prehy,2,10,7,6
7 d prehy,3,30,5,2
7 d prehy,4,0,NA,0
7 d prehy,5,30,4,5
7 d prehy,6,30,8,3
7 d prehy,7,0,NA,0
7 d prehy,8,10,11,3
7 d prehy,9,20,5,2
7 d prehy,10,10,11,1
7 d prehy,11,30,7,2
7 d prehy,12,30,4,3
7 d prehy,13,0,NA,0
7 d prehy,14,20,5,2
7 d prehy,15,10,12,2
7 d prehy,16,0,11,1