Hours,Minutes,mean RH,se
0,0,30.52,1.77
0.034,2,40.52,2.22
0.067,4,54.93,1.31
0.102,6,62.62,0.73
0.136,8,67.93,0.82
0.167,10,71.74,1.15
0.333,20,80.22067,0.63311
0.5,30,85.321,0.7074
0.667,40,88.178,0.6215
0.833,50,90.12333,0.61492
1,60,91.32733,1.04463
1.167,70,93.08967,0.65335
1.333,80,93.763,0.63685
1.5,90,93.59467,0.66025
1.667,100,94.63933,0.63396
1.833,110,95.14,0.62557
2,120,95.678,0.76098
2.167,130,96.35567,0.6062
2.333,140,96.89367,0.66825
2.5,150,96.01333,0.18136
2.667,160,97.179,0.5809
2.833,170,96.851,0.49817
3,180,96.851,0.49817
3.167,190,97.358,0.49088
3.333,200,97.53667,0.45669
3.5,210,97.52033,0.65187
3.667,220,97.87967,0.32804
3.833,230,97.86133,0.75579
4,240,98.20433,0.59908
4.25,255,99.017,0.65342
4.5,270,99.72633,0.5076
4.75,285,100.04933,0.45435
5,300,100,0.45526
5.25,,100,0.61701
5.5,,100,0.39145
5.75,,100,0.71921
6,,100,0.46032
6.25,,100,0.32679
6.5,,100,0.59
6.75,,100,0.73
7,,100,0.5
7.25,,100,0.5
7.5,,100,0.5
7.75,,100,0.5
8,,100,0.5
8.25,,100,0.5
8.5,,100,0.5
8.75,,100,0.5
9,,100,0.7
9.25,,100,0.66
9.5,,100,0.58
9.75,,100,0.69
10,,100,0.86
10.25,,100,0.062
10.5,,100,0.58
10.75,,100,0.48
11,,100,0.47
11.25,,100,0.5
11.5,,100,0.5
11.75,,100,0.5
12,,100,0.5
12.25,,100,0.5
12.5,,100,0.5
12.75,,100,0.5
13,780,100,0.5
16,960,100,0
20,1200,100,0
24,1440,100,0
30,1800,100,0
36,2160,100,0
42,2520,100,0
48,2880,100,0
72,4320,100,0
96,5760,100,0
168,10080,100,0
240,14400,100,0