treatment,treatment_h,percent_green_lvs_7dpost,first_regen_day,regen_pts_d21,first_regen_day_se,regen_pts_d21_se
Control,0,6.25,10.88,1.0625,1.846207503,0.347236111
1 h prehy,1,18.125,9.71,2.5,0.985770025,0.428174419
2 h prehy,2,17.8125,10.62,2.1875,0.804940367,0.430297862
3 h prehy,3,18.125,9.92,1.75,1.082859098,0.309569594
4 h prehy,4,22.5,6.53,3.1875,0.567925772,0.400195265
8 h prehy,8,31.25,7.33,3.8125,0.741084576,0.476259296
12 h prehy,12,34.6875,6.86,2.625,0.709876501,0.363719214
16 h prehy,16,31.5625,5.83,2.625,0.705318898,0.481966458
20 h prehy,20,35,5.69,3.1875,0.511215437,0.501819606
24 h prehy,24,35,6.58,2.5,1.389671497,0.49159604
2 d prehy,48,35.3125,6.73,3,0.613084836,0.447213595
3 d prehy,72,45.625,5.93,2.9375,0.777460253,0.347236111
4 d prehy,96,29.375,8.36,2.5625,1.373241704,0.376040224
7 d prehy,168,14.6875,7.23,2.375,0.848481647,0.481966458