treatment,treatment_h,measurement,y_value,se
0 h,0,first_regen_day,10.88,1.846207503
1 h,1,first_regen_day,9.71,0.985770025
2 h,2,first_regen_day,10.62,0.804940367
3 h,3,first_regen_day,9.92,1.082859098
4 h,4,first_regen_day,6.53,0.567925772
8 h,8,first_regen_day,7.33,0.741084576
12 h,12,first_regen_day,6.86,0.709876501
16 h,16,first_regen_day,5.83,0.705318898
20 h,20,first_regen_day,5.69,0.511215437
1 d,24,first_regen_day,6.58,1.389671497
2 d,48,first_regen_day,6.73,0.613084836
3 d,72,first_regen_day,5.93,0.777460253
4 d,96,first_regen_day,8.36,1.373241704
7 d,168,first_regen_day,7.23,0.848481647
0 h,0,regen_pts_d21,1.0625,0.347236111
1 h,1,regen_pts_d21,2.5,0.428174419
2 h,2,regen_pts_d21,2.1875,0.430297862
3 h,3,regen_pts_d21,1.75,0.309569594
4 h,4,regen_pts_d21,3.1875,0.400195265
8 h,8,regen_pts_d21,3.8125,0.476259296
12 h,12,regen_pts_d21,2.625,0.363719214
16 h,16,regen_pts_d21,2.625,0.481966458
20 h,20,regen_pts_d21,3.1875,0.501819606
1 d,24,regen_pts_d21,2.5,0.49159604
2 d,48,regen_pts_d21,3,0.447213595
3 d,72,regen_pts_d21,2.9375,0.347236111
4 d,96,regen_pts_d21,2.5625,0.376040224
7 d,168,regen_pts_d21,2.375,0.481966458