prehy_time_cat,Prehy_time_h,WC_pct,RH_pct
0,0,5.185387878,
0,0,5.522586896,
0,0,4.543918919,
1,1,16.03203138,90
1,1,21.17177097,
1,1,23.32323669,92
2,2,23.34934798,95
2,2,27.84463243,
2,2,24.76722533,94
3,3,35.03233169,98
3,3,37.87375415,
3,3,31.54850438,97
4,4,40.91430444,97
4,4,42.04545455,
4,4,36.12256924,96
8,8,52.72395715,99
8,8,46.66852912,
8,8,40.92140921,100
12,12,54.29026478,
12,12,53.8326301,
12,12,74.64850615,100
16,16,69.57969205,
16,16,59.75956976,
16,16,83.25487559,100
20,20,78.65380583,
20,20,88.53855986,
20,20,80.0893243,100
24,24,69.27270119,100
24,24,88.43683084,
24,24,100.2794597,100
48,48,86.53932249,100
48,48,104.5268612,
48,48,96.42857143,100
72,72,100.838667,100
72,72,92.2605927,
72,72,103.9975273,
96,96,93.75109094,100
96,96,93.76268684,
96,96,104.2949449,100
168,168,108.0804578,100
168,168,97.10531327,
168,168,107.82291,100
Full_turgor,,419.4358445,
Full_turgor,,362.4664879,
Full_turgor,,299.9446443,
Full_turgor,,342.4778761,